x,pollutant_concentration,oxygen_concentration
74.8,2.31178e-05,11.9999
74.9,2.27357e-05,11.9999
75,2.23599e-05,11.9999
75.1,2.19903e-05,11.9999
75.2,2.16269e-05,11.9999
75.3,2.12694e-05,11.9999
75.4,2.09179e-05,11.9999
75.5,2.05721e-05,11.9999
75.6,2.02321e-05,11.9999
75.7,1.98977e-05,11.9999
75.8,1.95688e-05,11.9999
75.9,1.92454e-05,11.9999
76,1.89273e-05,11.9999
76.1,1.86144e-05,11.9999
76.2,1.83068e-05,11.9999
76.3,1.80042e-05,11.9999
76.4,1.77066e-05,11.9999
76.5,1.74139e-05,11.9999
76.6,1.71261e-05,11.9999
76.7,1.6843e-05,11.9999
76.8,1.65646e-05,11.9999
76.9,1.62908e-05,11.9999
77,1.60216e-05,11.9999
77.1,1.57568e-05,11.9999
77.2,1.54963e-05,11.9999
77.3,1.52402e-05,11.9999
77.4,1.49883e-05,11.9999
77.5,1.47406e-05,11.9999
77.6,1.44969e-05,11.9999
77.7,1.42573e-05,11.9999
77.8,1.40217e-05,11.9999
77.9,1.37899e-05,11.9999
78,1.3562e-05,11.9999
78.1,1.33378e-05,12
78.2,1.31174e-05,12
78.3,1.29006e-05,12
78.4,1.26873e-05,12
78.5,1.24776e-05,12
78.6,1.22714e-05,12
78.7,1.20686e-05,12
78.8,1.18691e-05,12
78.9,1.16729e-05,12
79,1.148e-05,12
79.1,1.12902e-05,12
79.2,1.11036e-05,12
79.3,1.09201e-05,12
79.4,1.07396e-05,12
79.5,1.05621e-05,12
79.6,1.03875e-05,12
79.7,1.02158e-05,12
79.8,1.0047e-05,12
79.9,9.8809e-06,12
80,9.71758e-06,12
80.1,9.55696e-06,12
80.2,9.399e-06,12
80.3,9.24365e-06,12
80.4,9.09086e-06,12
80.5,8.94061e-06,12
80.6,8.79283e-06,12
80.7,8.6475e-06,12
80.8,8.50457e-06,12
80.9,8.364e-06,12
81,8.22575e-06,12
81.1,8.08979e-06,12
81.2,7.95608e-06,12
81.3,7.82458e-06,12
81.4,7.69525e-06,12
81.5,7.56806e-06,12
81.6,7.44297e-06,12
81.7,7.31995e-06,12
81.8,7.19896e-06,12
81.9,7.07997e-06,12
82,6.96295e-06,12
82.1,6.84786e-06,12
82.2,6.73468e-06,12
82.3,6.62336e-06,12
82.4,6.51389e-06,12
82.5,6.40622e-06,12
82.6,6.30034e-06,12
82.7,6.1962e-06,12
82.8,6.09379e-06,12
82.9,5.99307e-06,12
